2 pumps, 5 attendent
GrossProfit,679
Cost,170
Total profit,509
Late cars,29
Total cars,54
Late cars,53.7037037037037
GrossProfit,626
Cost,170
Total profit,456
Late cars,35
Total cars,47
Late cars,74.46808510638297
GrossProfit,648
Cost,170
Total profit,478
Late cars,35
Total cars,49
Late cars,71.42857142857143
GrossProfit,711
Cost,170
Total profit,541
Late cars,30
Total cars,58
Late cars,51.724137931034484
GrossProfit,670
Cost,170
Total profit,500
Late cars,33
Total cars,51
Late cars,64.70588235294117
