2 , 3
GrossProfit,679
Cost,102
Total profit,577
Late cars count,32
Total cars,54
Late car percent,59.25925925925926
GrossProfit,679
Cost,102
Total profit,577
Late cars count,23
Total cars,54
Late car percent,42.592592592592595
GrossProfit,669
Cost,102
Total profit,567
Late cars count,26
Total cars,52
Late car percent,50.0
GrossProfit,680
Cost,102
Total profit,578
Late cars count,23
Total cars,53
Late car percent,43.39622641509434
GrossProfit,679
Cost,102
Total profit,577
Late cars count,28
Total cars,54
Late car percent,51.851851851851855
